Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
1.0450    /	149.54         	/	69.60          	/	731.57         	/	1402.31        	/	2577.86        
1.0550    /	149.32         	/	69.40          	/	728.46         	/	1391.73        	/	2566.20        
1.0650    /	149.21         	/	69.25          	/	725.52         	/	1385.82        	/	2565.14        
1.0750    /	149.49         	/	69.23          	/	728.80         	/	1387.99        	/	2572.05        
1.0850    /	150.05         	/	69.18          	/	732.51         	/	1395.90        	/	2590.57        
1.0950    /	150.03         	/	69.07          	/	734.38         	/	1400.57        	/	2585.44        
1.1050    /	149.91         	/	68.94          	/	735.23         	/	1405.38        	/	2587.65        
1.1150    /	149.59         	/	68.88          	/	732.78         	/	1399.41        	/	2576.90        
1.1250    /	149.44         	/	68.84          	/	733.35         	/	1398.51        	/	2567.69        
1.1350    /	149.44         	/	68.75          	/	733.95         	/	1398.16        	/	2568.91        
1.1450    /	149.50         	/	68.65          	/	733.22         	/	1398.21        	/	2568.73        
1.1550    /	149.23         	/	68.46          	/	730.84         	/	1391.57        	/	2566.26        
1.1650    /	149.25         	/	68.30          	/	729.95         	/	1386.26        	/	2565.11        
1.1750    /	149.06         	/	68.28          	/	731.49         	/	1387.89        	/	2567.89        
1.1850    /	148.93         	/	68.16          	/	728.67         	/	1389.44        	/	2558.29        
1.1950    /	148.48         	/	67.99          	/	724.12         	/	1391.38        	/	2554.29        
1.2050    /	148.03         	/	67.87          	/	719.89         	/	1376.96        	/	2546.86        
1.2150    /	147.78         	/	67.80          	/	718.34         	/	1376.08        	/	2538.18        
1.2250    /	147.56         	/	67.69          	/	717.14         	/	1376.29        	/	2535.30        
1.2350    /	147.58         	/	67.61          	/	717.02         	/	1372.58        	/	2535.95        
1.2450    /	147.58         	/	67.60          	/	722.31         	/	1381.30        	/	2544.07        
1.2550    /	147.57         	/	67.57          	/	719.47         	/	1375.77        	/	2537.97        
1.2650    /	147.98         	/	67.53          	/	721.88         	/	1374.62        	/	2534.06        
1.2750    /	148.04         	/	67.52          	/	721.95         	/	1367.64        	/	2537.11        
1.2850    /	148.03         	/	67.38          	/	722.73         	/	1369.27        	/	2537.44        
1.2950    /	147.99         	/	67.23          	/	726.14         	/	1375.26        	/	2540.64        
1.3050    /	147.78         	/	67.14          	/	727.22         	/	1379.48        	/	2543.87        
1.3150    /	147.64         	/	67.10          	/	723.68         	/	1372.32        	/	2535.85        
1.3250    /	147.56         	/	67.11          	/	724.71         	/	1377.52        	/	2532.98        
1.3350    /	146.97         	/	67.15          	/	722.11         	/	1374.28        	/	2533.43        
1.3450    /	146.09         	/	67.24          	/	719.19         	/	1371.92        	/	2538.25        
1.3550    /	145.46         	/	67.47          	/	717.13         	/	1384.54        	/	2553.29        
1.3650    /	145.08         	/	67.89          	/	719.83         	/	1379.20        	/	2566.77        
1.3750    /	144.32         	/	67.94          	/	716.02         	/	1366.76        	/	2567.72        
1.3850    /	143.64         	/	67.56          	/	720.29         	/	1400.02        	/	2576.87        
1.3950    /	143.24         	/	67.16          	/	719.75         	/	1410.21        	/	2564.54        
1.4050    /	143.48         	/	66.69          	/	720.39         	/	1399.31        	/	2565.93        
1.4150    /	143.41         	/	66.33          	/	721.91         	/	1400.76        	/	2565.91        
1.4250    /	143.10         	/	66.15          	/	728.16         	/	1405.39        	/	2568.75        
1.4350    /	143.12         	/	66.07          	/	727.18         	/	1404.41        	/	2561.66        
1.4450    /	143.06         	/	66.00          	/	725.67         	/	1398.84        	/	2560.93        
1.4550    /	143.36         	/	65.97          	/	725.32         	/	1407.50        	/	2561.02        
1.4650    /	143.48         	/	66.05          	/	730.91         	/	1412.20        	/	2565.53        
1.4750    /	143.40         	/	66.04          	/	726.85         	/	1405.58        	/	2560.63        
1.4850    /	143.05         	/	65.93          	/	728.16         	/	1407.80        	/	2561.55        
1.4950    /	142.93         	/	65.74          	/	725.61         	/	1413.03        	/	2557.55        
1.5050    /	143.04         	/	65.46          	/	723.82         	/	1406.91        	/	2554.17        
1.5150    /	142.82         	/	65.26          	/	723.62         	/	1401.70        	/	2548.10        
1.5250    /	142.86         	/	65.12          	/	721.41         	/	1391.90        	/	2549.18        
1.5350    /	143.12         	/	64.98          	/	720.75         	/	1403.26        	/	2551.28        
1.5450    /	143.10         	/	64.90          	/	722.69         	/	1412.50        	/	2555.29        
1.5550    /	143.14         	/	64.84          	/	726.05         	/	1409.76        	/	2558.36        
1.5650    /	143.53         	/	64.87          	/	724.34         	/	1390.50        	/	2557.26        
1.5750    /	143.72         	/	64.96          	/	726.56         	/	1394.58        	/	2568.34        
1.5850    /	143.33         	/	64.88          	/	727.28         	/	1408.19        	/	2567.38        
1.5950    /	143.35         	/	64.71          	/	724.70         	/	1397.10        	/	2561.66        
1.6050    /	142.88         	/	64.54          	/	727.65         	/	1411.26        	/	2562.76        
1.6150    /	142.82         	/	64.37          	/	729.36         	/	1425.04        	/	2561.44        
1.6250    /	142.93         	/	64.25          	/	724.50         	/	1410.87        	/	2553.07        
1.6350    /	142.79         	/	64.14          	/	723.68         	/	1409.60        	/	2546.47        
