Time [s]  /	Amplitud       
0.0045312500000000006/	0.02597125156407361
0.00459375/	0.00521866512039552
0.00465625/	0.06817835016937773
0.00471875/	0.11685537278359324
0.00478125/	0.1021454512161626
0.00484375/	0.049226355784783474
0.00490625/	-0.02334665974913785
0.00496875/	-0.11316263313699759
0.00503125/	-0.18738364818262276
0.00509375/	-0.19312112796411024
0.00515625/	-0.15182958464308602
0.00521875/	-0.15515610217596973
0.00528125/	-0.20401623584704123
0.00534375/	-0.17902157658619952
0.0054062500000000005/	-0.046662800988799706
0.0054687500000000005/	0.07046723838007751
0.00553125/	0.1077303384502701
0.00559375/	0.13678395947141941
0.00565625/	0.17343668935209205
0.00571875/	0.13971373638111514
0.00578125/	0.0565507980590228
0.00584375/	0.04287850581377606
0.00590625/	0.10159611804559465
0.00596875/	0.11502426221503342
0.00603125/	0.04992828150273141
0.00609375/	-0.003021332438123722
0.00615625/	0.013397625659962768
0.00621875/	0.04336680196539201
0.00628125/	0.018005920590838345
0.00634375/	-0.03338724936674093
0.0064062500000000005/	-0.055085909604174935
0.0064687500000000005/	-0.08731345561082797
0.006531250000000001/	-0.1771599475081637
0.00659375/	-0.24384289071321757
0.00665625/	-0.19775994140446182
0.00671875/	-0.09942930387279886
0.00678125/	-0.05383465071565905
0.00684375/	-0.047944578386791586
0.00690625/	-0.0013122959074678793
0.00696875/	0.09540086062196722
0.00703125/	0.1695608386486404
0.00709375/	0.17212439344462416
0.00715625/	0.1391033661915952
0.00721875/	0.12439344462416456
0.00728125/	0.11142307809686575
0.0073437500000000005/	0.05783257545701468
0.0074062500000000005/	-0.0009155552842799158
0.0074687500000000006/	-0.001586962492751854
0.00753125/	0.025696584978789638
0.00759375/	0.007507553331095309
0.00765625/	-0.04437391277809992
0.00771875/	-0.0640888698995941
0.00778125/	-0.04919583727530748
0.00784375/	-0.054048280281991025
0.00790625/	-0.08911404766991181
0.00796875/	-0.11041596728415784
0.00803125/	-0.10281685842463455
0.00809375/	-0.09390545365764336
0.00815625/	-0.08090456862086856
0.00821875/	-0.028229621265297402
0.00828125/	0.05413983581041902
0.00834375/	0.1076082644123661
0.00840625/	0.11056855983153782
0.00846875/	0.1064485610522782
0.00853125/	0.1272011474959563
0.00859375/	0.1390728476821192
0.00865625/	0.10425122837000642
0.00871875/	0.050721762749107335
0.00878125/	0.01989806817835017
0.008843750000000001/	9.155552842799158e-05
0.008906250000000001/	-0.020142216254158147
0.008968750000000001/	-0.019287697988830226
0.009031250000000001/	-0.0042115543076876125
0.00909375/	-0.007629627368999298
0.00915625/	-0.030060731833857234
0.00921875/	-0.0489516891994995
0.00928125/	-0.046906949064607684
0.00934375/	-0.02197332682271798
0.00940625/	-0.0030823694570757164
0.00946875/	-0.013763847773674735
0.00953125/	-0.02740562150944548
0.00959375/	-0.015472884304330577
0.00965625/	0.00933866389965514
0.00971875/	-0.010711996826075015
0.00978125/	-0.17047639393292033
0.00984375/	-0.41242713705862605
0.00990625/	-0.4357432782982879
0.00996875/	-0.15363017670216986
0.01003125/	0.05392620624408704
0.01009375/	-0.037110507522812586
0.01015625/	-0.11453596606341747
0.01021875/	0.06213568529313029
0.01028125/	0.24951933347575306
0.01034375/	0.21283608508560442
0.01040625/	0.11819818720053712
0.01046875/	0.17102572710348826
0.01053125/	0.2260200811792352
0.01059375/	0.06872768333994568
0.01065625/	-0.11859492782372509
0.01071875/	-0.020050660725730154
0.010781250000000001/	0.22678304391613513
0.010843750000000001/	0.2454908902249214
0.010906250000000001/	0.052156132694479204
0.010968750000000001/	-0.041566209906308174
0.01103125/	0.01174962614825892
0.01109375/	0.00024414807580797754
0.01115625/	-0.11203344828638569
0.01121875/	-0.17905209509567552
0.01128125/	-0.17865535447248757
0.01134375/	-0.21167638172551653
0.01140625/	-0.27625354777672656
0.01146875/	-0.2426831873531297
0.01153125/	-0.061799981688894313
0.01159375/	0.1260414441358684
0.01165625/	0.16486098818933684
0.01171875/	0.11108737449262979
0.01178125/	0.11841181676686911
0.01184375/	0.16284676656392102
0.01190625/	0.15079195532090212
0.01196875/	0.1281777397991882
0.01203125/	0.13620410779137546
0.01209375/	0.09488204596087527
0.01215625/	-0.0007019257179479354
0.01221875/	-0.023560289315469832
0.01228125/	0.05188146610919523
0.01234375/	0.1131321146275216
0.01240625/	0.09622486037781915
0.01246875/	0.028717917416913357
0.01253125/	-0.0522171697134312
0.01259375/	-0.1294900357066561
0.01265625/	-0.1804864650410474
0.012718750000000001/	-0.18448438978240303
0.012781250000000001/	-0.16116824854274117
0.012843750000000001/	-0.1576281014435255
0.012906250000000001/	-0.17047639393292033
0.012968750000000001/	-0.13602099673451948
0.013031250000000001/	-0.03384502700888089
0.01309375/	0.0771202734458449
0.01315625/	0.14606158635212257
0.01321875/	0.17322305978576005
0.01328125/	0.1605883968626972
0.01334375/	0.10800500503555406
0.01340625/	0.05856501968443861
0.01346875/	0.0608539078951384
0.01353125/	0.09305093539231545
0.01359375/	0.08648945585497604
0.01365625/	0.029389324625385297
