Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
1.1123    /	440.03         	/	63.58          	/	441.43         	/	1646.14        	/	2785.15        
1.1223    /	439.80         	/	63.61          	/	441.45         	/	1711.93        	/	2935.36        
1.1323    /	440.01         	/	63.65          	/	442.30         	/	1552.03        	/	2695.16        
1.1423    /	440.28         	/	63.66          	/	449.69         	/	1490.72        	/	2381.37        
1.1523    /	440.23         	/	63.73          	/	443.88         	/	1630.48        	/	3009.08        
1.1623    /	439.82         	/	63.77          	/	440.83         	/	1750.85        	/	2813.71        
1.1723    /	440.02         	/	63.79          	/	441.12         	/	1800.44        	/	2911.68        
1.1823    /	440.32         	/	63.78          	/	441.54         	/	1853.25        	/	2978.00        
1.1923    /	439.86         	/	63.73          	/	441.38         	/	1833.68        	/	2700.03        
1.2023    /	439.92         	/	63.71          	/	441.64         	/	1731.72        	/	2785.81        
1.2123    /	440.07         	/	63.76          	/	441.47         	/	1715.52        	/	2865.80        
1.2223    /	440.18         	/	63.79          	/	441.54         	/	1739.11        	/	2921.52        
1.2323    /	439.99         	/	63.73          	/	441.39         	/	1734.81        	/	2990.25        
1.2423    /	440.31         	/	63.76          	/	448.05         	/	1534.20        	/	3068.31        
1.2523    /	440.58         	/	63.88          	/	446.42         	/	1726.89        	/	3130.61        
1.2623    /	440.19         	/	63.92          	/	441.31         	/	1757.86        	/	2877.77        
1.2723    /	439.74         	/	63.93          	/	441.58         	/	1798.22        	/	2936.25        
1.2823    /	439.94         	/	63.91          	/	441.94         	/	1944.07        	/	2941.78        
1.2923    /	439.98         	/	63.86          	/	441.95         	/	1952.13        	/	2941.36        
1.3023    /	439.84         	/	63.78          	/	441.38         	/	1958.52        	/	3087.84        
1.3123    /	440.07         	/	63.76          	/	441.30         	/	1939.82        	/	2856.98        
1.3223    /	439.94         	/	63.78          	/	441.23         	/	1848.30        	/	2985.70        
1.3323    /	440.07         	/	63.81          	/	441.08         	/	1857.06        	/	2799.14        
1.3423    /	440.09         	/	63.82          	/	441.08         	/	1919.49        	/	3067.37        
1.3523    /	440.00         	/	63.85          	/	441.14         	/	1964.83        	/	2807.85        
1.3623    /	440.07         	/	63.87          	/	441.31         	/	1851.66        	/	2973.56        
1.3723    /	440.07         	/	63.87          	/	441.08         	/	1885.60        	/	3063.28        
1.3823    /	440.14         	/	63.93          	/	441.50         	/	1998.58        	/	3053.74        
1.3923    /	439.97         	/	63.94          	/	440.92         	/	1785.79        	/	2861.41        
1.4023    /	440.07         	/	63.87          	/	441.35         	/	1714.40        	/	2715.06        
1.4123    /	440.20         	/	63.84          	/	441.37         	/	1707.44        	/	2833.39        
1.4223    /	440.16         	/	63.85          	/	441.33         	/	1797.83        	/	2970.45        
1.4323    /	440.10         	/	63.87          	/	441.71         	/	1903.10        	/	2998.95        
1.4423    /	439.84         	/	63.93          	/	441.10         	/	1794.96        	/	2751.75        
1.4523    /	439.82         	/	63.93          	/	440.97         	/	1734.66        	/	2938.29        
1.4623    /	439.98         	/	63.86          	/	441.04         	/	1824.95        	/	3095.57        
1.4723    /	440.12         	/	63.83          	/	441.47         	/	1866.75        	/	3041.42        
1.4823    /	440.05         	/	63.80          	/	441.30         	/	1803.39        	/	2944.68        
1.4923    /	440.31         	/	63.86          	/	441.67         	/	1792.93        	/	3024.49        
1.5023    /	440.00         	/	63.85          	/	441.54         	/	1826.18        	/	3047.07        
1.5123    /	440.05         	/	63.80          	/	441.58         	/	1885.79        	/	3093.26        
1.5223    /	440.24         	/	63.85          	/	441.63         	/	1927.13        	/	3056.42        
1.5323    /	440.24         	/	63.89          	/	441.16         	/	1907.05        	/	2728.40        
1.5423    /	439.73         	/	63.91          	/	440.90         	/	1862.64        	/	2826.77        
1.5523    /	439.72         	/	63.91          	/	441.16         	/	1893.42        	/	2960.78        
1.5623    /	440.34         	/	63.88          	/	442.21         	/	2001.91        	/	3151.59        
1.5723    /	440.16         	/	63.83          	/	442.45         	/	1935.47        	/	3232.51        
1.5823    /	439.91         	/	63.84          	/	441.81         	/	1795.86        	/	2946.53        
1.5923    /	439.98         	/	63.84          	/	441.55         	/	1750.57        	/	2872.48        
1.6023    /	440.09         	/	63.80          	/	441.37         	/	1763.13        	/	2877.82        
1.6123    /	439.89         	/	63.79          	/	440.67         	/	1782.82        	/	2967.32        
1.6223    /	440.41         	/	63.85          	/	444.46         	/	1715.20        	/	3070.92        
1.6323    /	440.23         	/	63.90          	/	443.83         	/	1774.14        	/	2597.46        
1.6423    /	440.18         	/	63.85          	/	442.30         	/	1917.16        	/	2938.70        
1.6523    /	439.93         	/	63.76          	/	443.21         	/	1670.38        	/	3102.20        
1.6623    /	440.08         	/	63.78          	/	447.42         	/	1510.67        	/	3048.69        
1.6723    /	440.14         	/	63.85          	/	443.04         	/	1821.74        	/	3172.52        
1.6823    /	440.18         	/	63.83          	/	444.94         	/	1669.94        	/	3052.05        
1.6923    /	440.20         	/	63.81          	/	443.84         	/	1736.10        	/	2796.48        
1.7023    /	439.99         	/	63.78          	/	440.64         	/	1755.94        	/	2909.56        
1.7123    /	439.91         	/	63.69          	/	441.08         	/	1740.81        	/	2912.93        
1.7223    /	439.71         	/	63.67          	/	442.37         	/	1689.28        	/	2721.69        
1.7323    /	440.39         	/	63.64          	/	444.88         	/	1629.94        	/	2599.46        
1.7423    /	440.34         	/	63.60          	/	441.73         	/	1796.79        	/	3039.02        
1.7523    /	439.88         	/	63.61          	/	441.41         	/	1801.07        	/	3152.78        
1.7623    /	440.23         	/	63.63          	/	444.48         	/	1601.71        	/	2907.98        
1.7723    /	440.12         	/	63.69          	/	441.83         	/	1818.43        	/	3069.84        
1.7823    /	440.00         	/	63.78          	/	442.23         	/	1650.45        	/	2650.26        
1.7923    /	439.99         	/	63.81          	/	441.78         	/	1588.34        	/	2792.46        
1.8023    /	439.89         	/	63.73          	/	441.26         	/	1666.18        	/	2758.37        
1.8123    /	439.86         	/	63.64          	/	442.84         	/	1732.32        	/	2768.28        
1.8223    /	440.04         	/	63.61          	/	445.47         	/	1745.35        	/	2684.23        
1.8323    /	440.47         	/	63.52          	/	447.79         	/	1796.05        	/	2919.62        
1.8423    /	440.11         	/	63.55          	/	441.37         	/	1770.23        	/	2780.05        
1.8523    /	440.17         	/	63.70          	/	441.92         	/	1817.71        	/	2847.77        
1.8623    /	439.83         	/	63.77          	/	441.16         	/	1915.00        	/	2872.14        
1.8723    /	439.94         	/	63.78          	/	441.72         	/	1815.74        	/	2943.24        
