Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.1714    /	2605.47        	/	27.82          
0.1714    /	2625.00        	/	31.38          
0.1714    /	2644.53        	/	25.61          
0.1714    /	2664.06        	/	33.43          
0.1714    /	2683.59        	/	36.46          
0.1714    /	2703.12        	/	42.76          
0.1714    /	2722.66        	/	44.27          
0.1714    /	2742.19        	/	46.52          
0.1714    /	2761.72        	/	47.97          
0.1714    /	2781.25        	/	45.33          
0.1714    /	2800.78        	/	44.31          
0.1714    /	2820.31        	/	45.07          
0.1714    /	2839.84        	/	41.73          
0.1714    /	2859.38        	/	35.21          
0.1714    /	2878.91        	/	35.46          
0.1714    /	2898.44        	/	32.37          
0.1714    /	2917.97        	/	35.02          
0.1714    /	2937.50        	/	31.09          
0.1714    /	2957.03        	/	40.18          
0.1714    /	2976.56        	/	46.25          
0.1714    /	2996.09        	/	49.13          
0.1714    /	3015.62        	/	46.83          
0.1714    /	3035.16        	/	46.43          
0.1714    /	3054.69        	/	44.68          
0.1714    /	3074.22        	/	39.27          
0.1714    /	3093.75        	/	36.91          
0.1714    /	3113.28        	/	40.19          
0.1714    /	3132.81        	/	36.07          
0.1714    /	3152.34        	/	29.59          
0.1714    /	3171.88        	/	31.06          
0.1714    /	3191.41        	/	34.95          
0.1714    /	3210.94        	/	37.46          
0.1714    /	3230.47        	/	41.59          
0.1714    /	3250.00        	/	45.26          
0.1714    /	3269.53        	/	49.04          
0.1714    /	3289.06        	/	47.86          
0.1714    /	3308.59        	/	46.72          
0.1714    /	3328.12        	/	42.21          
0.1714    /	3347.66        	/	40.49          
0.1714    /	3367.19        	/	35.96          
0.1714    /	3386.72        	/	26.16          
0.1714    /	3406.25        	/	15.31          
0.1714    /	3425.78        	/	17.88          
0.1714    /	3445.31        	/	25.53          
0.1714    /	3464.84        	/	15.21          
0.1714    /	3484.38        	/	18.81          
0.1714    /	3503.91        	/	16.95          
0.1714    /	3523.44        	/	27.30          
0.1714    /	3542.97        	/	36.56          
0.1714    /	3562.50        	/	37.67          
0.1714    /	3582.03        	/	38.83          
0.1714    /	3601.56        	/	42.27          
0.1714    /	3621.09        	/	38.46          
0.1714    /	3640.62        	/	30.81          
0.1714    /	3660.16        	/	30.29          
0.1714    /	3679.69        	/	33.92          
0.1714    /	3699.22        	/	34.19          
0.1714    /	3718.75        	/	31.21          
0.1714    /	3738.28        	/	33.78          
0.1714    /	3757.81        	/	35.26          
0.1714    /	3777.34        	/	43.70          
0.1714    /	3796.88        	/	45.08          
0.1714    /	3816.41        	/	47.44          
0.1714    /	3835.94        	/	45.95          
0.1714    /	3855.47        	/	44.25          
0.1714    /	3875.00        	/	42.99          
0.1714    /	3894.53        	/	42.43          
0.1714    /	3914.06        	/	39.27          
0.1714    /	3933.59        	/	33.74          
0.1714    /	3953.12        	/	31.93          
0.1714    /	3972.66        	/	22.40          
0.1784    /	7.81           	/	-7.49          
0.1784    /	27.34          	/	-9.89          
0.1784    /	46.88          	/	5.66           
0.1784    /	66.41          	/	12.30          
0.1784    /	85.94          	/	4.13           
0.1784    /	105.47         	/	3.17           
0.1784    /	125.00         	/	2.95           
0.1784    /	144.53         	/	-0.91          
0.1784    /	164.06         	/	-0.60          
0.1784    /	183.59         	/	4.01           
0.1784    /	203.12         	/	21.34          
0.1784    /	222.66         	/	11.60          
0.1784    /	242.19         	/	24.14          
0.1784    /	261.72         	/	69.64          
0.1784    /	281.25         	/	79.95          
0.1784    /	300.78         	/	68.20          
0.1784    /	320.31         	/	38.52          
0.1784    /	339.84         	/	7.07           
0.1784    /	359.38         	/	16.38          
0.1784    /	378.91         	/	13.04          
0.1784    /	398.44         	/	-2.55          
0.1784    /	417.97         	/	-15.98         
0.1784    /	437.50         	/	-14.14         
0.1784    /	457.03         	/	3.54           
0.1784    /	476.56         	/	5.97           
0.1784    /	496.09         	/	5.11           
0.1784    /	515.62         	/	26.86          
0.1784    /	535.16         	/	63.72          
0.1784    /	554.69         	/	74.38          
0.1784    /	574.22         	/	70.42          
0.1784    /	593.75         	/	62.28          
0.1784    /	613.28         	/	44.82          
0.1784    /	632.81         	/	21.58          
0.1784    /	652.34         	/	9.44           
0.1784    /	671.88         	/	10.54          
0.1784    /	691.41         	/	8.13           
0.1784    /	710.94         	/	4.07           
0.1784    /	730.47         	/	-7.62          
0.1784    /	750.00         	/	0.84           
0.1784    /	769.53         	/	21.21          
0.1784    /	789.06         	/	32.12          
0.1784    /	808.59         	/	63.04          
0.1784    /	828.12         	/	69.82          
0.1784    /	847.66         	/	68.02          
0.1784    /	867.19         	/	63.59          
0.1784    /	886.72         	/	56.70          
0.1784    /	906.25         	/	44.07          
0.1784    /	925.78         	/	27.34          
0.1784    /	945.31         	/	13.77          
0.1784    /	964.84         	/	17.60          
0.1784    /	984.38         	/	22.31          
0.1784    /	1003.91        	/	17.63          
0.1784    /	1023.44        	/	25.18          
0.1784    /	1042.97        	/	36.99          
0.1784    /	1062.50        	/	65.84          
0.1784    /	1082.03        	/	84.88          
0.1784    /	1101.56        	/	90.47          
0.1784    /	1121.09        	/	87.90          
0.1784    /	1140.62        	/	84.86          
0.1784    /	1160.16        	/	80.31          
0.1784    /	1179.69        	/	75.10          
0.1784    /	1199.22        	/	67.72          
0.1784    /	1218.75        	/	58.93          
0.1784    /	1238.28        	/	44.03          
0.1784    /	1257.81        	/	51.33          
0.1784    /	1277.34        	/	47.79          
0.1784    /	1296.88        	/	39.87          
0.1784    /	1316.41        	/	57.27          
0.1784    /	1335.94        	/	75.34          
0.1784    /	1355.47        	/	86.92          
0.1784    /	1375.00        	/	89.90          
0.1784    /	1394.53        	/	88.57          
0.1784    /	1414.06        	/	83.01          
0.1784    /	1433.59        	/	75.37          
0.1784    /	1453.12        	/	70.74          
0.1784    /	1472.66        	/	63.55          
0.1784    /	1492.19        	/	54.12          
0.1784    /	1511.72        	/	44.03          
0.1784    /	1531.25        	/	31.40          
0.1784    /	1550.78        	/	25.34          
0.1784    /	1570.31        	/	-4.01          
0.1784    /	1589.84        	/	34.31          
0.1784    /	1609.38        	/	48.59          
0.1784    /	1628.91        	/	57.10          
0.1784    /	1648.44        	/	65.89          
0.1784    /	1667.97        	/	66.65          
0.1784    /	1687.50        	/	63.45          
0.1784    /	1707.03        	/	62.27          
0.1784    /	1726.56        	/	60.87          
0.1784    /	1746.09        	/	58.84          
0.1784    /	1765.62        	/	56.16          
0.1784    /	1785.16        	/	47.30          
0.1784    /	1804.69        	/	46.41          
0.1784    /	1824.22        	/	36.12          
0.1784    /	1843.75        	/	35.66          
0.1784    /	1863.28        	/	43.17          
0.1784    /	1882.81        	/	62.35          
0.1784    /	1902.34        	/	69.48          
0.1784    /	1921.88        	/	72.47          
0.1784    /	1941.41        	/	76.89          
0.1784    /	1960.94        	/	78.60          
0.1784    /	1980.47        	/	75.79          
0.1784    /	2000.00        	/	73.32          
0.1784    /	2019.53        	/	70.92          
0.1784    /	2039.06        	/	63.84          
0.1784    /	2058.59        	/	60.83          
0.1784    /	2078.12        	/	59.64          
0.1784    /	2097.66        	/	64.26          
0.1784    /	2117.19        	/	54.99          
0.1784    /	2136.72        	/	62.88          
0.1784    /	2156.25        	/	74.09          
0.1784    /	2175.78        	/	76.55          
0.1784    /	2195.31        	/	76.50          
0.1784    /	2214.84        	/	72.19          
0.1784    /	2234.38        	/	73.19          
0.1784    /	2253.91        	/	74.24          
0.1784    /	2273.44        	/	71.92          
0.1784    /	2292.97        	/	66.85          
0.1784    /	2312.50        	/	63.86          
0.1784    /	2332.03        	/	58.66          
0.1784    /	2351.56        	/	54.57          
0.1784    /	2371.09        	/	44.38          
0.1784    /	2390.62        	/	50.80          
0.1784    /	2410.16        	/	46.37          
0.1784    /	2429.69        	/	50.53          
0.1784    /	2449.22        	/	54.48          
0.1784    /	2468.75        	/	54.46          
0.1784    /	2488.28        	/	54.80          
0.1784    /	2507.81        	/	56.20          
0.1784    /	2527.34        	/	53.59          
0.1784    /	2546.88        	/	50.56          
0.1784    /	2566.41        	/	48.14          
0.1784    /	2585.94        	/	43.22          
0.1784    /	2605.47        	/	33.64          
0.1784    /	2625.00        	/	35.29          
0.1784    /	2644.53        	/	29.67          
0.1784    /	2664.06        	/	35.02          
0.1784    /	2683.59        	/	34.84          
0.1784    /	2703.12        	/	38.17          
0.1784    /	2722.66        	/	40.06          
0.1784    /	2742.19        	/	43.57          
0.1784    /	2761.72        	/	47.04          
0.1784    /	2781.25        	/	45.39          
0.1784    /	2800.78        	/	45.42          
0.1784    /	2820.31        	/	46.73          
0.1784    /	2839.84        	/	44.18          
0.1784    /	2859.38        	/	39.03          
0.1784    /	2878.91        	/	38.85          
0.1784    /	2898.44        	/	34.09          
0.1784    /	2917.97        	/	36.06          
0.1784    /	2937.50        	/	27.47          
0.1784    /	2957.03        	/	36.40          
0.1784    /	2976.56        	/	41.51          
0.1784    /	2996.09        	/	45.64          
0.1784    /	3015.62        	/	44.63          
0.1784    /	3035.16        	/	45.58          
0.1784    /	3054.69        	/	44.26          
0.1784    /	3074.22        	/	40.71          
0.1784    /	3093.75        	/	38.62          
0.1784    /	3113.28        	/	41.81          
0.1784    /	3132.81        	/	38.65          
0.1784    /	3152.34        	/	33.57          
0.1784    /	3171.88        	/	30.92          
0.1784    /	3191.41        	/	34.03          
0.1784    /	3210.94        	/	33.84          
0.1784    /	3230.47        	/	36.78          
0.1784    /	3250.00        	/	40.13          
0.1784    /	3269.53        	/	45.05          
0.1784    /	3289.06        	/	45.43          
0.1784    /	3308.59        	/	45.51          
0.1784    /	3328.12        	/	41.78          
0.1784    /	3347.66        	/	40.47          
0.1784    /	3367.19        	/	37.43          
0.1784    /	3386.72        	/	28.17          
0.1784    /	3406.25        	/	18.54          
0.1784    /	3425.78        	/	17.15          
0.1784    /	3445.31        	/	18.52          
0.1784    /	3464.84        	/	10.28          
0.1784    /	3484.38        	/	16.07          
0.1784    /	3503.91        	/	12.73          
0.1784    /	3523.44        	/	22.86          
0.1784    /	3542.97        	/	32.79          
0.1784    /	3562.50        	/	35.14          
0.1784    /	3582.03        	/	37.42          
0.1784    /	3601.56        	/	42.05          
0.1784    /	3621.09        	/	38.56          
0.1784    /	3640.62        	/	32.45          
0.1784    /	3660.16        	/	32.78          
0.1784    /	3679.69        	/	35.98          
0.1784    /	3699.22        	/	35.54          
0.1784    /	3718.75        	/	31.46          
0.1784    /	3738.28        	/	28.57          
0.1784    /	3757.81        	/	30.32          
0.1784    /	3777.34        	/	38.61          
0.1784    /	3796.88        	/	40.05          
0.1784    /	3816.41        	/	43.84          
0.1784    /	3835.94        	/	42.95          
0.1784    /	3855.47        	/	43.48          
0.1784    /	3875.00        	/	42.75          
0.1784    /	3894.53        	/	43.28          
0.1784    /	3914.06        	/	40.43          
0.1784    /	3933.59        	/	35.11          
0.1784    /	3953.12        	/	33.48          
0.1784    /	3972.66        	/	25.37          
0.1855    /	7.81           	/	-5.67          
0.1855    /	27.34          	/	-7.24          
0.1855    /	46.88          	/	7.33           
0.1855    /	66.41          	/	16.14          
0.1855    /	85.94          	/	-0.21          
0.1855    /	105.47         	/	-2.34          
0.1855    /	125.00         	/	0.63           
0.1855    /	144.53         	/	-3.55          
0.1855    /	164.06         	/	-3.80          
0.1855    /	183.59         	/	7.46           
0.1855    /	203.12         	/	24.01          
0.1855    /	222.66         	/	8.61           
0.1855    /	242.19         	/	22.04          
0.1855    /	261.72         	/	65.98          
0.1855    /	281.25         	/	78.92          
0.1855    /	300.78         	/	73.00          
0.1855    /	320.31         	/	48.15          
0.1855    /	339.84         	/	8.21           
0.1855    /	359.38         	/	14.99          
0.1855    /	378.91         	/	10.46          
0.1855    /	398.44         	/	-4.86          
0.1855    /	417.97         	/	-14.13         
0.1855    /	437.50         	/	-4.73          
0.1855    /	457.03         	/	6.49           
0.1855    /	476.56         	/	8.02           
0.1855    /	496.09         	/	4.85           
0.1855    /	515.62         	/	20.05          
0.1855    /	535.16         	/	56.56          
0.1855    /	554.69         	/	71.90          
0.1855    /	574.22         	/	72.22          
0.1855    /	593.75         	/	67.77          
0.1855    /	613.28         	/	53.69          
0.1855    /	632.81         	/	32.82          
0.1855    /	652.34         	/	12.53          
0.1855    /	671.88         	/	10.78          
0.1855    /	691.41         	/	8.09           
0.1855    /	710.94         	/	3.23           
0.1855    /	730.47         	/	-8.83          
0.1855    /	750.00         	/	-6.01          
0.1855    /	769.53         	/	17.69          
0.1855    /	789.06         	/	20.39          
0.1855    /	808.59         	/	56.36          
0.1855    /	828.12         	/	66.02          
0.1855    /	847.66         	/	67.86          
0.1855    /	867.19         	/	66.00          
0.1855    /	886.72         	/	61.25          
0.1855    /	906.25         	/	51.55          
0.1855    /	925.78         	/	37.42          
0.1855    /	945.31         	/	23.70          
0.1855    /	964.84         	/	18.58          
0.1855    /	984.38         	/	19.53          
0.1855    /	1003.91        	/	18.27          
0.1855    /	1023.44        	/	22.97          
0.1855    /	1042.97        	/	31.24          
0.1855    /	1062.50        	/	56.10          
0.1855    /	1082.03        	/	78.24          
0.1855    /	1101.56        	/	86.93          
0.1855    /	1121.09        	/	86.95          
0.1855    /	1140.62        	/	86.22          
0.1855    /	1160.16        	/	83.61          
0.1855    /	1179.69        	/	80.23          
0.1855    /	1199.22        	/	74.70          
0.1855    /	1218.75        	/	67.68          
0.1855    /	1238.28        	/	54.31          
0.1855    /	1257.81        	/	51.56          
0.1855    /	1277.34        	/	48.11          
0.1855    /	1296.88        	/	37.41          
0.1855    /	1316.41        	/	44.14          
0.1855    /	1335.94        	/	65.11          
0.1855    /	1355.47        	/	79.77          
0.1855    /	1375.00        	/	85.64          
0.1855    /	1394.53        	/	86.96          
0.1855    /	1414.06        	/	83.19          
0.1855    /	1433.59        	/	77.25          
0.1855    /	1453.12        	/	73.83          
0.1855    /	1472.66        	/	68.55          
0.1855    /	1492.19        	/	60.66          
0.1855    /	1511.72        	/	52.27          
0.1855    /	1531.25        	/	41.68          
0.1855    /	1550.78        	/	34.11          
0.1855    /	1570.31        	/	5.11           
0.1855    /	1589.84        	/	26.64          
0.1855    /	1609.38        	/	39.54          
0.1855    /	1628.91        	/	49.34          
0.1855    /	1648.44        	/	61.85          
0.1855    /	1667.97        	/	64.50          
0.1855    /	1687.50        	/	63.37          
0.1855    /	1707.03        	/	63.27          
0.1855    /	1726.56        	/	63.01          
0.1855    /	1746.09        	/	62.30          
0.1855    /	1765.62        	/	60.58          
0.1855    /	1785.16        	/	53.85          
0.1855    /	1804.69        	/	52.88          
0.1855    /	1824.22        	/	46.38          
0.1855    /	1843.75        	/	42.40          
0.1855    /	1863.28        	/	37.88          
0.1855    /	1882.81        	/	54.55          
0.1855    /	1902.34        	/	62.54          
0.1855    /	1921.88        	/	67.76          
0.1855    /	1941.41        	/	74.65          
0.1855    /	1960.94        	/	78.07          
0.1855    /	1980.47        	/	76.96          
0.1855    /	2000.00        	/	75.06          
0.1855    /	2019.53        	/	73.71          
0.1855    /	2039.06        	/	68.33          
0.1855    /	2058.59        	/	65.60          
0.1855    /	2078.12        	/	66.54          
0.1855    /	2097.66        	/	70.00          
0.1855    /	2117.19        	/	60.69          
0.1855    /	2136.72        	/	63.44          
0.1855    /	2156.25        	/	67.92          
0.1855    /	2175.78        	/	70.30          
0.1855    /	2195.31        	/	72.58          
0.1855    /	2214.84        	/	69.33          
0.1855    /	2234.38        	/	72.18          
0.1855    /	2253.91        	/	74.39          
0.1855    /	2273.44        	/	72.98          
0.1855    /	2292.97        	/	68.78          
0.1855    /	2312.50        	/	66.30          
0.1855    /	2332.03        	/	62.58          
0.1855    /	2351.56        	/	58.25          
0.1855    /	2371.09        	/	51.11          
0.1855    /	2390.62        	/	54.06          
0.1855    /	2410.16        	/	45.55          
0.1855    /	2429.69        	/	48.59          
0.1855    /	2449.22        	/	50.77          
0.1855    /	2468.75        	/	50.73          
0.1855    /	2488.28        	/	51.51          
0.1855    /	2507.81        	/	54.51          
0.1855    /	2527.34        	/	52.71          
0.1855    /	2546.88        	/	50.95          
0.1855    /	2566.41        	/	49.43          
0.1855    /	2585.94        	/	44.93          
0.1855    /	2605.47        	/	37.05          
0.1855    /	2625.00        	/	38.54          
0.1855    /	2644.53        	/	35.81          
0.1855    /	2664.06        	/	39.08          
0.1855    /	2683.59        	/	36.83          
0.1855    /	2703.12        	/	33.42          
0.1855    /	2722.66        	/	35.59          
0.1855    /	2742.19        	/	39.28          
0.1855    /	2761.72        	/	44.35          
0.1855    /	2781.25        	/	43.40          
0.1855    /	2800.78        	/	44.46          
0.1855    /	2820.31        	/	46.43          
0.1855    /	2839.84        	/	44.73          
0.1855    /	2859.38        	/	40.68          
0.1855    /	2878.91        	/	40.66          
0.1855    /	2898.44        	/	36.85          
0.1855    /	2917.97        	/	37.74          
0.1855    /	2937.50        	/	30.89          
0.1855    /	2957.03        	/	36.07          
0.1855    /	2976.56        	/	37.14          
0.1855    /	2996.09        	/	41.94          
0.1855    /	3015.62        	/	42.03          
0.1855    /	3035.16        	/	43.10          
0.1855    /	3054.69        	/	41.83          
0.1855    /	3074.22        	/	40.40          
0.1855    /	3093.75        	/	38.26          
0.1855    /	3113.28        	/	41.55          
0.1855    /	3132.81        	/	39.30          
0.1855    /	3152.34        	/	35.67          
0.1855    /	3171.88        	/	32.83          
0.1855    /	3191.41        	/	35.46          
0.1855    /	3210.94        	/	33.91          
0.1855    /	3230.47        	/	34.06          
0.1855    /	3250.00        	/	34.92          
0.1855    /	3269.53        	/	39.03          
0.1855    /	3289.06        	/	40.80          
0.1855    /	3308.59        	/	42.58          
0.1855    /	3328.12        	/	39.45          
0.1855    /	3347.66        	/	38.32          
0.1855    /	3367.19        	/	37.06          
0.1855    /	3386.72        	/	28.23          
0.1855    /	3406.25        	/	20.03          
0.1855    /	3425.78        	/	17.12          
0.1855    /	3445.31        	/	14.22          
0.1855    /	3464.84        	/	7.89           
0.1855    /	3484.38        	/	12.19          
0.1855    /	3503.91        	/	6.94           
0.1855    /	3523.44        	/	16.79          
0.1855    /	3542.97        	/	26.98          
0.1855    /	3562.50        	/	30.57          
0.1855    /	3582.03        	/	33.86          
0.1855    /	3601.56        	/	39.92          
0.1855    /	3621.09        	/	36.69          
0.1855    /	3640.62        	/	31.80          
0.1855    /	3660.16        	/	33.18          
0.1855    /	3679.69        	/	36.31          
0.1855    /	3699.22        	/	35.84          
0.1855    /	3718.75        	/	32.01          
0.1855    /	3738.28        	/	26.69          
0.1855    /	3757.81        	/	28.53          
0.1855    /	3777.34        	/	32.90          
0.1855    /	3796.88        	/	33.55          
0.1855    /	3816.41        	/	38.76          
0.1855    /	3835.94        	/	37.89          
0.1855    /	3855.47        	/	40.99          
0.1855    /	3875.00        	/	40.48          
0.1855    /	3894.53        	/	42.17          
0.1855    /	3914.06        	/	39.71          
0.1855    /	3933.59        	/	34.28          
0.1855    /	3953.12        	/	33.57          
0.1855    /	3972.66        	/	26.42          
0.1925    /	7.81           	/	-4.62          
0.1925    /	27.34          	/	-3.54          
0.1925    /	46.88          	/	10.24          
0.1925    /	66.41          	/	20.03          
0.1925    /	85.94          	/	-1.65          
0.1925    /	105.47         	/	-9.87          
0.1925    /	125.00         	/	-0.90          
0.1925    /	144.53         	/	-5.13          
0.1925    /	164.06         	/	-7.58          
0.1925    /	183.59         	/	11.92          
0.1925    /	203.12         	/	26.54          
0.1925    /	222.66         	/	5.52           
0.1925    /	242.19         	/	17.45          
0.1925    /	261.72         	/	61.33          
0.1925    /	281.25         	/	76.56          
0.1925    /	300.78         	/	76.40          
0.1925    /	320.31         	/	56.27          
0.1925    /	339.84         	/	14.06          
0.1925    /	359.38         	/	12.90          
0.1925    /	378.91         	/	8.95           
0.1925    /	398.44         	/	-0.00          
0.1925    /	417.97         	/	-6.18          
0.1925    /	437.50         	/	2.59           
0.1925    /	457.03         	/	8.73           
0.1925    /	476.56         	/	9.29           
0.1925    /	496.09         	/	5.75           
0.1925    /	515.62         	/	16.16          
0.1925    /	535.16         	/	47.92          
0.1925    /	554.69         	/	68.02          
0.1925    /	574.22         	/	72.12          
0.1925    /	593.75         	/	71.43          
0.1925    /	613.28         	/	60.81          
0.1925    /	632.81         	/	42.57          
0.1925    /	652.34         	/	17.06          
0.1925    /	671.88         	/	12.20          
0.1925    /	691.41         	/	7.19           
0.1925    /	710.94         	/	1.24           
0.1925    /	730.47         	/	-10.98         
0.1925    /	750.00         	/	-13.96         
0.1925    /	769.53         	/	14.92          
0.1925    /	789.06         	/	12.73          
0.1925    /	808.59         	/	48.40          
0.1925    /	828.12         	/	60.47          
0.1925    /	847.66         	/	65.80          
0.1925    /	867.19         	/	66.42          
0.1925    /	886.72         	/	63.80          
0.1925    /	906.25         	/	57.06          
0.1925    /	925.78         	/	45.51          
0.1925    /	945.31         	/	31.85          
0.1925    /	964.84         	/	19.58          
0.1925    /	984.38         	/	17.19          
0.1925    /	1003.91        	/	17.99          
0.1925    /	1023.44        	/	19.17          
0.1925    /	1042.97        	/	27.11          
0.1925    /	1062.50        	/	45.34          
0.1925    /	1082.03        	/	70.03          
0.1925    /	1101.56        	/	81.71          
0.1925    /	1121.09        	/	83.98          
0.1925    /	1140.62        	/	85.58          
0.1925    /	1160.16        	/	84.84          
0.1925    /	1179.69        	/	83.27          
0.1925    /	1199.22        	/	79.57          
0.1925    /	1218.75        	/	74.43          
0.1925    /	1238.28        	/	63.30          
0.1925    /	1257.81        	/	52.95          
0.1925    /	1277.34        	/	47.05          
0.1925    /	1296.88        	/	35.93          
0.1925    /	1316.41        	/	32.67          
0.1925    /	1335.94        	/	53.74          
0.1925    /	1355.47        	/	70.90          
0.1925    /	1375.00        	/	79.65          
0.1925    /	1394.53        	/	83.44          
0.1925    /	1414.06        	/	81.39          
0.1925    /	1433.59        	/	76.99          
0.1925    /	1453.12        	/	74.87          
0.1925    /	1472.66        	/	71.44          
0.1925    /	1492.19        	/	65.17          
0.1925    /	1511.72        	/	58.58          
0.1925    /	1531.25        	/	50.23          
0.1925    /	1550.78        	/	41.88          
0.1925    /	1570.31        	/	18.30          
0.1925    /	1589.84        	/	24.28          
0.1925    /	1609.38        	/	31.55          
0.1925    /	1628.91        	/	40.12          
0.1925    /	1648.44        	/	56.18          
0.1925    /	1667.97        	/	60.46          
0.1925    /	1687.50        	/	61.26          
0.1925    /	1707.03        	/	62.18          
0.1925    /	1726.56        	/	63.07          
0.1925    /	1746.09        	/	63.63          
0.1925    /	1765.62        	/	63.07          
0.1925    /	1785.16        	/	58.35          
0.1925    /	1804.69        	/	57.83          
0.1925    /	1824.22        	/	53.98          
0.1925    /	1843.75        	/	50.24          
0.1925    /	1863.28        	/	43.05          
0.1925    /	1882.81        	/	47.19          
0.1925    /	1902.34        	/	53.88          
0.1925    /	1921.88        	/	61.05          
0.1925    /	1941.41        	/	70.51          
0.1925    /	1960.94        	/	75.65          
0.1925    /	1980.47        	/	76.04          
0.1925    /	2000.00        	/	74.69          
0.1925    /	2019.53        	/	74.56          
0.1925    /	2039.06        	/	70.58          
0.1925    /	2058.59        	/	68.26          
0.1925    /	2078.12        	/	71.26          
0.1925    /	2097.66        	/	74.11          
0.1925    /	2117.19        	/	67.52          
0.1925    /	2136.72        	/	67.35          
0.1925    /	2156.25        	/	63.33          
0.1925    /	2175.78        	/	62.56          
0.1925    /	2195.31        	/	67.02          
0.1925    /	2214.84        	/	64.31          
0.1925    /	2234.38        	/	69.24          
0.1925    /	2253.91        	/	72.53          
0.1925    /	2273.44        	/	72.04          
0.1925    /	2292.97        	/	68.55          
0.1925    /	2312.50        	/	66.73          
0.1925    /	2332.03        	/	64.33          
0.1925    /	2351.56        	/	60.22          
0.1925    /	2371.09        	/	55.44          
0.1925    /	2390.62        	/	57.15          
0.1925    /	2410.16        	/	50.06          
0.1925    /	2429.69        	/	51.79          
0.1925    /	2449.22        	/	50.65          
0.1925    /	2468.75        	/	46.74          
0.1925    /	2488.28        	/	46.32          
0.1925    /	2507.81        	/	51.06          
0.1925    /	2527.34        	/	49.82          
0.1925    /	2546.88        	/	49.26          
0.1925    /	2566.41        	/	48.78          
0.1925    /	2585.94        	/	44.64          
0.1925    /	2605.47        	/	38.03          
0.1925    /	2625.00        	/	40.18          
0.1925    /	2644.53        	/	39.57          
0.1925    /	2664.06        	/	41.97          
0.1925    /	2683.59        	/	39.10          
0.1925    /	2703.12        	/	31.49          
0.1925    /	2722.66        	/	34.09          
0.1925    /	2742.19        	/	36.14          
0.1925    /	2761.72        	/	40.62          
0.1925    /	2781.25        	/	39.56          
0.1925    /	2800.78        	/	41.54          
0.1925    /	2820.31        	/	44.20          
0.1925    /	2839.84        	/	43.34          
0.1925    /	2859.38        	/	40.13          
0.1925    /	2878.91        	/	40.75          
0.1925    /	2898.44        	/	38.27          
0.1925    /	2917.97        	/	38.26          
0.1925    /	2937.50        	/	34.27          
0.1925    /	2957.03        	/	37.56          
0.1925    /	2976.56        	/	35.55          
0.1925    /	2996.09        	/	40.00          
0.1925    /	3015.62        	/	40.72          
0.1925    /	3035.16        	/	40.23          
0.1925    /	3054.69        	/	38.08          
0.1925    /	3074.22        	/	38.63          
0.1925    /	3093.75        	/	35.91          
0.1925    /	3113.28        	/	39.38          
0.1925    /	3132.81        	/	37.94          
0.1925    /	3152.34        	/	35.72          
0.1925    /	3171.88        	/	33.63          
0.1925    /	3191.41        	/	36.31          
0.1925    /	3210.94        	/	34.97          
0.1925    /	3230.47        	/	34.03          
0.1925    /	3250.00        	/	31.98          
0.1925    /	3269.53        	/	31.69          
0.1925    /	3289.06        	/	34.28          
0.1925    /	3308.59        	/	38.46          
0.1925    /	3328.12        	/	35.67          
0.1925    /	3347.66        	/	34.10          
0.1925    /	3367.19        	/	34.94          
0.1925    /	3386.72        	/	26.28          
0.1925    /	3406.25        	/	19.37          
0.1925    /	3425.78        	/	15.89          
0.1925    /	3445.31        	/	13.16          
0.1925    /	3464.84        	/	5.68           
0.1925    /	3484.38        	/	7.92           
0.1925    /	3503.91        	/	1.39           
0.1925    /	3523.44        	/	10.46          
0.1925    /	3542.97        	/	19.39          
0.1925    /	3562.50        	/	24.18          
0.1925    /	3582.03        	/	28.32          
0.1925    /	3601.56        	/	36.02          
0.1925    /	3621.09        	/	32.86          
0.1925    /	3640.62        	/	28.88          
0.1925    /	3660.16        	/	31.54          
0.1925    /	3679.69        	/	34.81          
0.1925    /	3699.22        	/	34.27          
0.1925    /	3718.75        	/	31.09          
0.1925    /	3738.28        	/	26.76          
0.1925    /	3757.81        	/	28.16          
0.1925    /	3777.34        	/	28.03          
0.1925    /	3796.88        	/	26.68          
0.1925    /	3816.41        	/	33.07          
0.1925    /	3835.94        	/	31.54          
0.1925    /	3855.47        	/	37.21          
0.1925    /	3875.00        	/	36.52          
0.1925    /	3894.53        	/	39.23          
0.1925    /	3914.06        	/	37.22          
0.1925    /	3933.59        	/	31.41          
0.1925    /	3953.12        	/	32.27          
0.1925    /	3972.66        	/	25.25          
0.1996    /	7.81           	/	-4.56          
0.1996    /	27.34          	/	0.40           
0.1996    /	46.88          	/	13.96          
0.1996    /	66.41          	/	23.56          
0.1996    /	85.94          	/	2.35           
0.1996    /	105.47         	/	-17.05         
0.1996    /	125.00         	/	-0.79          
0.1996    /	144.53         	/	-5.51          
0.1996    /	164.06         	/	-10.29         
0.1996    /	183.59         	/	16.67          
0.1996    /	203.12         	/	29.13          
0.1996    /	222.66         	/	3.38           
0.1996    /	242.19         	/	13.83          
0.1996    /	261.72         	/	55.46          
0.1996    /	281.25         	/	72.71          
0.1996    /	300.78         	/	78.59          
0.1996    /	320.31         	/	63.16          
0.1996    /	339.84         	/	24.80          
0.1996    /	359.38         	/	12.68          
0.1996    /	378.91         	/	10.66          
0.1996    /	398.44         	/	7.19           
0.1996    /	417.97         	/	3.04           
